#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-5889.509461521021,240.4149965506371,0.7551523851936922
2000,-5793.551610775294,238.70917256483608,0.7551523851936922
3000,-5851.744093267887,239.73464760179138,0.7551523851936922
4000,-6037.538748482685,242.97776114685385,0.7551523851936922
5000,-5948.130451032694,241.41151154433373,0.7551523851936922
6000,-5994.130429777425,242.26343245754353,0.7551523851936922
7000,-5892.15212536875,240.50627429481244,0.7551523851936922
8000,-5980.476973558312,241.95856633973503,0.7551523851936922
9000,-5817.180488346531,239.0579257131908,0.7551523851936922
10000,-6002.208161413956,242.2355414747707,0.7551523851936922
